id,channel,title,game,viewers,date
97609,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15677,1542682610802
97610,xqcow,NA Streamer plays games,Witch It,13819,1542682610809
97617,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6389,1542682610839
97636,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3650,1542682610889
97677,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1370,1542682611001
97703,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24893,1542682671723
97709,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15657,1542682671744
97710,xqcow,NA Streamer plays games,Witch It,13720,1542682671746
97717,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6428,1542682671763
97736,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3680,1542682671829
97783,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1291,1542682672013
97803,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24643,1542682732730
97809,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15584,1542682732750
97810,xqcow,NA Streamer plays games,Witch It,13720,1542682732753
97817,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6438,1542682732774
97836,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3700,1542682732839
97885,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1135,1542682733002
97903,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24865,1542682793685
97909,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",15584,1542682793704
97910,xqcow,NA Streamer plays games,Witch It,13762,1542682793707
97917,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6438,1542682793728
97936,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3689,1542682793784
97986,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1164,1542682793941
98003,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24865,1542682854540
